▶ 투자의견 및 목표주가 추이,Col1
일 자 투자의견 목표주가,괴리율(%)
,평균 최고/최저
"2023.06.15 BUY 87,000
2023.12.05 BUY 89,000
2024.04.12 BUY 100,000
2024.07.08 BUY 110,000
2024.09.09 BUY 104,000
2024.10.10 BUY 86,000
2024.11.27 BUY 79,000
2025.01.15 BUY 76,500
2025.02.03 BUY 71,000
2025.08.01 BUY 81,000
2025.09.22 BUY 93,000
2025.10.15 BUY 110,000
2025.10.31 BUY 125,000","-19.57 -15.63
-15.23 -4.16
-21.32 -12.90
-28.17 -20.18
-39.33 -36.25
-33.44 -29.07
-31.15 -27.47
-29.90 -29.02
-17.90 2.25
-11.26 -0.62
-5.97 1.51
-9.82 -5.36"
