삼성전자 (005930) 투자등급 및 목표주가 추이,Col1,Col2,Col3,Col4,Col5
"(원)
주가 목표주가 일자
140,000
2025-10-30
120,000
2025-10-14
100,000 2025-09-22
80,000 2025-07-29
2025-07-18
60,000
2025-07-09
40,000
2025-02-03
20,000
2024-12-04
0 2024-09-23
23.10 24.04 24.10 25.04 25.10
2023-11-29","투자
의견","목표가
(원)","목표가격
대상시점",괴리율,
,,,,"평균주가
대비","최고(최저)
주가 대비"
,"BUY
BUY
BUY
BUY
BUY
BUY
BUY
BUY
BUY
BUY","128,00
118,00
93,00
84,00
77,00
74,00
70,00
85,00
90,00
95,00","0 1년
0 1년
0 1년
0 1년
0 1년
0 1년
0 1년
0 1년
0 1년
0 1년","-16.63
-6.42
-14.52
-12.88
-14.14
-18.56
-36.17
-35.64
-21.31","-13.56
1.51
-4.17
-8.57
-9.86
-8.86
-32.59
-28.11
-10.53"
